net,length_um
RF.registers\[15\]\[5\],1245.29
net49,1245.02
_0612_,1240.58
_0506_,1240.02
_0519_,1239.68
net462,1239.5
_0367_,1239.24
_0056_,1239.04
_0760_,1238.71
_0181_,1238.62
_0335_,1238.31
net330,1237.24
RF.registers\[20\]\[23\],1236.74
net289,1231.32
_0197_,1230.14
RF.registers\[5\]\[18\],1229.83
RF.registers\[25\]\[2\],1228.7
_0211_,1227.44
RF.registers\[0\]\[3\],1227.42
RF.registers\[20\]\[12\],1227.28
net455,1223.14
RF.registers\[5\]\[10\],1222.41
net403,1222.28
_0438_,1221.82
_0418_,1220.93
RF.registers\[5\]\[2\],1218.4
RF.registers\[10\]\[0\],1216.4
RF.registers\[10\]\[12\],1216.07
RF.registers\[10\]\[1\],1214.8
net423,1213.16
net222,1212.79
_1281_,1212.66
_0425_,1212.06
_1052_,1211.9
RF.registers\[25\]\[1\],1210.1
_0844_,1208.94
_0672_,1208.1
_0714_,1207.46
_0025_,1204.66
_0708_,1204.26
_0913_,1202.4
RF.registers\[0\]\[2\],1201.755
RF.registers\[0\]\[0\],1200.68
net255,1200.56
_1181_,1199.53
_0690_,1198.58
_0738_,1198.4
net433,1198.3
_0852_,1196.14
_0601_,1195.1
_0966_,1193.54
_0773_,1190.22
_0607_,1189.24
_0830_,1188.5
_0167_,1187.52
_0943_,1187.22
_0633_,1185.465
_0856_,1184.85
_0031_,1184.54
_0565_,1184.11
_0805_,1179.56
_0558_,1177.48
net334,1174.2
_1056_,1173.4
net440,1172.84
net437,1172.2
_0862_,1171.12
net145,1170.46
_0134_,1170.24
_0765_,1169.4
_1196_,1168.04
_0191_,1166.5
net50,1166.2
net103,1164.48
net456,1163.81
net197,1161.88
_0473_,1161.7
net67,1158.84
_0023_,1158.02
RF.registers\[5\]\[23\],1156.62
_0810_,1156.54
RF.registers\[10\]\[24\],1155.82
net461,1154.74
RF.registers\[15\]\[25\],1154.37
RF.registers\[10\]\[17\],1153.64
_0485_,1153.43
net346,1153
_0891_,1152.78
RF.registers\[25\]\[18\],1152.56
_0651_,1152.48
_1078_,1152.42
_0980_,1146.94
_0727_,1146.18
RF.registers\[5\]\[28\],1143.16
net347,1138.86
_0331_,1138.4
_0465_,1138.32
_0482_,1137.85
net431,1135.64
_1105_,1133.32
_0422_,1132.54
_0883_,1129.69
RF.registers\[0\]\[15\],1129.34
_0484_,1129.07
RF.registers\[0\]\[31\],1128.1
net307,1127.56
RF.registers\[5\]\[21\],1125.42
_0625_,1125.06
_0349_,1122.56
_0132_,1122.18
_0043_,1119.74
net442,1119.56
_0061_,1119.36
_0564_,1118.27
net303,1117
RF.registers\[5\]\[8\],1115.81
RF.registers\[5\]\[16\],1114.94
RF.registers\[25\]\[16\],1114.34
_0836_,1114.34
RF.registers\[5\]\[5\],1112.23
_0778_,1111.575
_1135_,1109.755
_0290_,1108.75
_0103_,1108.365
_0790_,1107.14
RF.registers\[15\]\[1\],1106.69
_1174_,1106.28
RF.registers\[20\]\[1\],1105.58
_1095_,1104.8
_1007_,1103.78
_0581_,1103.02
_0893_,1102.46
RF.registers\[20\]\[4\],1100.4
_1025_,1098.76
_0155_,1096.96
_0214_,1096.94
_0762_,1096.33
_0923_,1095.74
_1193_,1095.7
RF.registers\[15\]\[7\],1094.5
RF.registers\[15\]\[3\],1094.33
_1128_,1094.04
_0759_,1092.97
RF.registers\[5\]\[19\],1092.74
net387,1092.68
_0613_,1090.08
RF.registers\[20\]\[30\],1088.1
RF.registers\[10\]\[5\],1087.87
_0131_,1087.82
net174,1086.52
_1132_,1085.67
_0868_,1085.06
_0562_,1081.95
_0740_,1081.1
