net,length_um
_2094_,3312.14
_1996_,3158.425
_0452_,3156.76
_0589_,3144.525
_0516_,3124.66
_1583_,3097.385
_0530_,3090.25
_0604_,3028.02
_1565_,2998.955
_0610_,2993.78
_0586_,2983.13
_1392_,2975.455
_2213_,2945.095
_0621_,2943.29
_1586_,2942.87
_0540_,2916.91
_0486_,2904.46
_0418_,2903.05
_1219_,2898.95
_2224_,2887.64
_1646_,2875.72
_2154_,2870.6
_0556_,2869.64
_0447_,2847.16
_1590_,2830.48
_0445_,2822.22
_0459_,2819.4
_0461_,2810.44
_1260_,2807.42
_0425_,2798.2
_0478_,2794.64
_2108_,2791.75
_1598_,2790.34
_2178_,2789.72
_0517_,2771.73
_1594_,2771.6
_1469_,2768.68
_1610_,2767.475
_0493_,2760.35
_0647_,2760.28
_0475_,2756.285
_1956_,2755.8
_2143_,2754.07
_0648_,2751.9
_1363_,2741.02
_1164_,2731.77
_1364_,2730
_1579_,2726.33
_1575_,2722.95
_0488_,2721.96
_0427_,2721.46
_2036_,2716.53
_2200_,2711.08
_1620_,2698.64
_1257_,2692.245
_0624_,2680.74
_1569_,2663.51
_0646_,2662.265
_0441_,2661.68
_1571_,2657.62
_0515_,2645.89
_0673_,2634.47
_1581_,2624
_0460_,2622.8
_1234_,2612.3
_2130_,2609.7
_0548_,2602.61
_0529_,2584.235
_2271_,2582.14
_2018_,2571.88
_1240_,2571.195
_0627_,2566.72
_0443_,2559.6
_2047_,2555.11
_1592_,2549.01
_0570_,2547.1
_0450_,2542.77
_0597_,2542.16
_0549_,2540.24
_0531_,2538.3
_0533_,2534.93
_2119_,2522.68
_0438_,2514.98
_0528_,2514.04
_1577_,2506.8
_1691_,2500.65
_0520_,2493.94
_1422_,2485.4
_2189_,2485.4
_0464_,2479.4
_0432_,2476.46
_1362_,2474.09
_1585_,2472.44
_0563_,2464.885
_1083_,2462.945
_0541_,2457.42
_0420_,2446.89
_1712_,2445.72
_1425_,2443.27
_0511_,2434.12
_0539_,2429.16
_1967_,2426.325
_1596_,2423.14
_0434_,2418.345
_0518_,2415.03
_0545_,2408.525
_2083_,2407.61
_1978_,2404.84
_1376_,2390.33
_0552_,2388.79
_0433_,2384.545
_1084_,2373.19
_0442_,2365.605
net3,2349.87
_1588_,2340.43
_0449_,2339.74
_1261_,2332.81
_0472_,2329.79
_2072_,2324.58
_2235_,2321.885
_0503_,2313.83
_1567_,2313.505
_0448_,2310.615
_2260_,2307.165
_1614_,2299.34
_1893_,2297.55
_0485_,2294.98
_0487_,2294.9
net2,2288.77
_0512_,2282.7
_0453_,2271.92
_0510_,2270.85
_0544_,2267.08
_0590_,2262.2
_0547_,2254.55
_0522_,2246.41
_2249_,2244.78
_0543_,2239.97
_0622_,2220.48
_0481_,2211.52
_0583_,2198.34
_2007_,2187.83
_0479_,2185.23
_0553_,2184.11
_0532_,2173.7
_0416_,2170.66
_1138_,2156.19
_0521_,2151.96
_0638_,2145.345
_0554_,2111.335
_0474_,2097.71
_0591_,2048.5
_0593_,2047.18
_1772_,2041.71
_0626_,2031.58
_1644_,2018.84
_0663_,2017.2
_0494_,1952.16
_1284_,1921.01
_2165_,1906.54
_0736_,1885.33
RF.registers\[0\]\[27\],1853.755
_1631_,1835.39
_0480_,1814.24
_1405_,1801.1
_1373_,1778.18
RF.registers\[21\]\[11\],1776.91
net186,1745.49
RF.registers\[4\]\[8\],1736.65
RF.registers\[5\]\[27\],1712.51
RF.registers\[9\]\[26\],1708.98
_1573_,1706.4
RF.registers\[9\]\[15\],1697.26
_0584_,1685.71
_1304_,1678.6
RF.registers\[5\]\[20\],1673.66
net351,1667.005
net597,1666.85
_1357_,1661.82
_0664_,1660.4
_0052_,1657.88
RF.registers\[9\]\[2\],1656.78
RF.registers\[21\]\[8\],1648.74
_0111_,1646.26
net441,1645.29
_1490_,1635.39
